rep,n,d,N,type,method,metric,value
12,50,2,100,nonlinear,NPT-FR,Wasserstein,13.266650003384687
12,50,2,100,nonlinear,Marginal-FR,Wasserstein,18.64283138960229
12,50,2,100,nonlinear,Gaussian-FR,Wasserstein,17.34477213833208
13,50,2,100,nonlinear,NPT-FR,Wasserstein,12.159887517860774
13,50,2,100,nonlinear,Marginal-FR,Wasserstein,17.6495068424154
13,50,2,100,nonlinear,Gaussian-FR,Wasserstein,15.908018965916668
14,50,2,100,nonlinear,NPT-FR,Wasserstein,13.667618839448512
14,50,2,100,nonlinear,Marginal-FR,Wasserstein,18.71174701016258
14,50,2,100,nonlinear,Gaussian-FR,Wasserstein,16.80524425395734
15,50,2,100,nonlinear,NPT-FR,Wasserstein,13.151584491179088
15,50,2,100,nonlinear,Marginal-FR,Wasserstein,17.971733723347853
15,50,2,100,nonlinear,Gaussian-FR,Wasserstein,15.938915832274656
16,50,2,100,nonlinear,NPT-FR,Wasserstein,13.925513797520061
16,50,2,100,nonlinear,Marginal-FR,Wasserstein,18.974268674162513
16,50,2,100,nonlinear,Gaussian-FR,Wasserstein,18.043133344959102
17,50,2,100,nonlinear,NPT-FR,Wasserstein,13.217902075856118
17,50,2,100,nonlinear,Marginal-FR,Wasserstein,18.13592508732366
17,50,2,100,nonlinear,Gaussian-FR,Wasserstein,16.553832224381168
18,50,2,100,nonlinear,NPT-FR,Wasserstein,12.232283276517064
18,50,2,100,nonlinear,Marginal-FR,Wasserstein,16.960719101771367
18,50,2,100,nonlinear,Gaussian-FR,Wasserstein,15.222920594605517
19,50,2,100,nonlinear,NPT-FR,Wasserstein,13.260598021639078
19,50,2,100,nonlinear,Marginal-FR,Wasserstein,18.155969410176088
19,50,2,100,nonlinear,Gaussian-FR,Wasserstein,16.844881372252384
20,50,2,100,nonlinear,NPT-FR,Wasserstein,12.901635046690034
20,50,2,100,nonlinear,Marginal-FR,Wasserstein,18.394540714469827
20,50,2,100,nonlinear,Gaussian-FR,Wasserstein,16.799618327282246
21,50,2,100,nonlinear,NPT-FR,Wasserstein,12.574668353969479
21,50,2,100,nonlinear,Marginal-FR,Wasserstein,18.14701758792379
21,50,2,100,nonlinear,Gaussian-FR,Wasserstein,16.597348411858498
22,50,2,100,nonlinear,NPT-FR,Wasserstein,12.152399914611305
22,50,2,100,nonlinear,Marginal-FR,Wasserstein,17.301293947820522
22,50,2,100,nonlinear,Gaussian-FR,Wasserstein,16.230351867978403
23,50,2,100,nonlinear,NPT-FR,Wasserstein,13.753149244353025
23,50,2,100,nonlinear,Marginal-FR,Wasserstein,19.004806480695773
23,50,2,100,nonlinear,Gaussian-FR,Wasserstein,17.41746565544331
24,50,2,100,nonlinear,NPT-FR,Wasserstein,12.437910610493784
24,50,2,100,nonlinear,Marginal-FR,Wasserstein,17.566830678474176
24,50,2,100,nonlinear,Gaussian-FR,Wasserstein,15.721520081052683
25,50,2,100,nonlinear,NPT-FR,Wasserstein,12.167422554554454
25,50,2,100,nonlinear,Marginal-FR,Wasserstein,17.207905398299445
25,50,2,100,nonlinear,Gaussian-FR,Wasserstein,15.929939778045018
26,50,2,100,nonlinear,NPT-FR,Wasserstein,12.427356867799952
26,50,2,100,nonlinear,Marginal-FR,Wasserstein,18.15273234608899
26,50,2,100,nonlinear,Gaussian-FR,Wasserstein,16.07548400714793
27,50,2,100,nonlinear,NPT-FR,Wasserstein,13.278109705354403
27,50,2,100,nonlinear,Marginal-FR,Wasserstein,18.2878471577605
27,50,2,100,nonlinear,Gaussian-FR,Wasserstein,16.906953381221136
28,50,2,100,nonlinear,NPT-FR,Wasserstein,12.924553066146851
28,50,2,100,nonlinear,Marginal-FR,Wasserstein,17.403410187002528
28,50,2,100,nonlinear,Gaussian-FR,Wasserstein,16.301668664930858
29,50,2,100,nonlinear,NPT-FR,Wasserstein,12.704631473289917
29,50,2,100,nonlinear,Marginal-FR,Wasserstein,17.684158435401965
29,50,2,100,nonlinear,Gaussian-FR,Wasserstein,16.022488537568275
30,50,2,100,nonlinear,NPT-FR,Wasserstein,12.903372372045212
30,50,2,100,nonlinear,Marginal-FR,Wasserstein,18.065848109560896
30,50,2,100,nonlinear,Gaussian-FR,Wasserstein,16.67722749767056
31,50,2,100,nonlinear,NPT-FR,Wasserstein,14.48923939907061
31,50,2,100,nonlinear,Marginal-FR,Wasserstein,19.94640882211828
31,50,2,100,nonlinear,Gaussian-FR,Wasserstein,18.396832051339167
32,50,2,100,nonlinear,NPT-FR,Wasserstein,13.001032553606764
32,50,2,100,nonlinear,Marginal-FR,Wasserstein,17.720179056799367
32,50,2,100,nonlinear,Gaussian-FR,Wasserstein,16.72109672104091
